iter	Logloss
0	0.683783237
1	0.6771500634
2	0.6712284945
3	0.6657630484
4	0.6614074895
5	0.6574033432
6	0.6550930618
7	0.6526728453
8	0.6497906354
9	0.6475457134
10	0.645208898
11	0.6432485327
12	0.6417220395
13	0.6387392366
14	0.6373400682
15	0.6359293014
16	0.6344631063
17	0.6331189678
18	0.6319658888
19	0.6297455767
20	0.6280564402
21	0.6267752143
22	0.6257544256
23	0.6248881303
24	0.6240097571
25	0.6228899368
26	0.6220983496
27	0.6215358571
28	0.6198075772
29	0.618635174
30	0.6178174928
31	0.6169124063
32	0.6160537632
33	0.6151485216
34	0.6144870342
35	0.6138003463
36	0.6131664041
37	0.6124289451
38	0.6119333084
39	0.6112413882
40	0.610661375
41	0.6103916587
42	0.6096776647
43	0.609058352
44	0.6086647644
45	0.6080281554
46	0.6075643472
47	0.6072388951
48	0.6068190218
49	0.6060685123
50	0.6056137682
51	0.6051202201
52	0.604620527
53	0.6044612283
54	0.6041572485
55	0.603984042
56	0.6037088486
57	0.6031608675
58	0.6026906127
59	0.6023904919
60	0.6021444529
61	0.6019136308
62	0.6016414908
63	0.6014381089
64	0.6011222885
65	0.6006015064
66	0.6003417088
67	0.5999731432
68	0.5996002735
69	0.5992329949
70	0.5988905859
71	0.5987531159
72	0.5986259534
73	0.5983369589
74	0.5980990675
75	0.5977751223
76	0.5974000464
77	0.5969698601
78	0.5968452281
79	0.596512218
80	0.5962419474
81	0.5961261926
82	0.595694293
83	0.5951334632
84	0.5948525988
85	0.594657247
86	0.5944830132
87	0.5943399584
88	0.5941658633
89	0.5938513227
90	0.5937061539
91	0.5935306308
92	0.5935166506
93	0.5934000941
94	0.5932005583
95	0.5929815502
96	0.5927470781
97	0.5925721411
98	0.5923361223
99	0.5920111246
100	0.5917758298
101	0.5914768921
102	0.5912978006
103	0.5911501235
104	0.5908908945
105	0.5906792102
106	0.5904732193
107	0.5902012189
108	0.589989467
109	0.5897797733
110	0.5894891518
111	0.5893890134
112	0.5891465924
113	0.58898311
114	0.5888814245
115	0.5885772329
116	0.5881084058
117	0.5877975191
118	0.5875057873
119	0.5874264926
120	0.5872612036
121	0.5870308909
122	0.5867991512
123	0.5865190545
124	0.5862655831
125	0.5859662792
126	0.5856691956
127	0.5854231214
128	0.5850991602
129	0.584883333
130	0.5847983206
131	0.5845665794
132	0.5844423709
133	0.5843591131
134	0.5842646909
135	0.5840523132
136	0.5838550469
137	0.5836066441
138	0.5833257762
139	0.5830974512
140	0.5830934085
141	0.5829144379
142	0.5826868846
143	0.5824608203
144	0.5821970514
145	0.5817981081
146	0.5815948766
147	0.5813259566
148	0.5809517978
149	0.5808685657
150	0.5806459437
151	0.5804111395
152	0.5802369749
153	0.5801113089
154	0.5798040547
155	0.5795462165
156	0.5793975278
157	0.579137952
158	0.5788228204
159	0.5787497965
160	0.5784044373
161	0.5782893082
162	0.5780991869
163	0.5780498989
164	0.5778759965
165	0.5776739336
166	0.577581458
167	0.5774190054
168	0.577230496
169	0.577063015
170	0.5768751814
171	0.5766499601
172	0.5765260662
173	0.5764148893
174	0.5763245895
175	0.5761298776
176	0.5759359993
177	0.5757606529
178	0.5756771015
179	0.5756357397
180	0.5755594573
181	0.5754009139
182	0.5751824036
183	0.5751122955
184	0.5748336258
185	0.574672895
186	0.5745771211
187	0.5741970094
188	0.5741948617
189	0.5740549056
190	0.5737576003
191	0.5735553487
192	0.5735006849
193	0.5733524624
194	0.5733476594
195	0.5731663897
196	0.5730171438
197	0.5728281391
198	0.5725589337
199	0.5723379414
200	0.5721546323
201	0.5719066623
202	0.5717612923
203	0.5716986282
204	0.5714473257
205	0.5712991656
206	0.5712227077
207	0.5710269886
208	0.5708221807
209	0.5707542462
210	0.5707082917
211	0.5706231313
212	0.5704521613
213	0.5704268122
214	0.5702106161
215	0.5700501092
216	0.5698603499
217	0.5697555861
218	0.5695289776
219	0.5694499508
220	0.5692688068
221	0.5690634237
222	0.5688170048
223	0.5685859308
224	0.5684375214
225	0.5683139384
226	0.5681334636
227	0.5680352987
228	0.5678411015
229	0.5677051192
230	0.5674868152
231	0.5672851718
232	0.5672346661
233	0.5670057066
234	0.5669334696
235	0.5667622614
236	0.5666384411
237	0.566584218
238	0.5665172742
239	0.5664422623
240	0.5663161046
241	0.5660890036
242	0.5659547967
243	0.5657112497
244	0.5656599179
245	0.565360824
246	0.5651915337
247	0.5651510918
248	0.5649375523
249	0.5649306089
250	0.5648043532
251	0.5646724266
252	0.5646042677
253	0.5645160101
254	0.5643819987
255	0.5641578581
256	0.5639645485
257	0.5637657072
258	0.5636978932
259	0.5635953339
260	0.5635681536
261	0.5634206656
262	0.5633138661
263	0.5631742749
264	0.5631026267
265	0.5630477577
266	0.562939313
267	0.56289592
268	0.5628099318
269	0.5626965917
270	0.5626501255
271	0.5624544018
272	0.5624133644
273	0.5621998008
274	0.5620741038
275	0.561909341
276	0.5618450756
277	0.5618006582
278	0.5617006951
279	0.5615742298
280	0.5614082131
281	0.5612587797
282	0.5611545041
283	0.5611365322
284	0.5610614168
285	0.5609021276
286	0.5607498309
287	0.5605876801
288	0.5605381452
289	0.5604232864
290	0.5603943702
291	0.5602291591
292	0.5601211732
293	0.5598771789
294	0.5597718453
295	0.5597047788
296	0.5596618882
297	0.5594455839
298	0.5593481297
299	0.5593471459
