iter	Passed	Remaining
0	87	26190
1	176	26327
2	247	24538
3	324	24003
4	400	23613
5	487	23873
6	562	23533
7	637	23267
8	714	23099
9	791	22965
10	877	23042
11	959	23023
12	1037	22907
13	1111	22704
14	1194	22690
15	1268	22513
16	1342	22352
17	1427	22370
18	1512	22371
19	1584	22180
20	1659	22052
21	1733	21900
22	1818	21903
23	1904	21896
24	1977	21755
25	2048	21591
26	2124	21485
27	2200	21379
28	2272	21232
29	2346	21117
30	2429	21079
31	2502	20959
32	2573	20825
33	2658	20796
34	2730	20675
35	2804	20568
36	2894	20571
37	2968	20466
38	3042	20362
39	3114	20245
40	3188	20145
41	3259	20024
42	3346	20003
43	3420	19900
44	3492	19788
45	3563	19679
46	3633	19559
47	3706	19461
48	3790	19418
49	3863	19315
50	3942	19247
51	4017	19160
52	4092	19074
53	4185	19066
54	4275	19044
55	4348	18948
56	4425	18867
57	4504	18792
58	4579	18705
59	4659	18638
60	4751	18617
61	4826	18526
62	4896	18421
63	4974	18343
64	5049	18257
65	5129	18185
66	5203	18095
67	5279	18012
68	5357	17934
69	5433	17854
70	5512	17780
71	5591	17706
72	5667	17622
73	5748	17556
74	5828	17485
75	5903	17398
76	5981	17323
77	6057	17239
78	6138	17173
79	6216	17096
80	6292	17012
81	6390	16988
82	6469	16915
83	6545	16830
84	6621	16747
85	6694	16657
86	6767	16569
87	6845	16492
88	6920	16407
89	6999	16331
90	7082	16265
91	7157	16182
92	7237	16109
93	7318	16038
94	7394	15956
95	7476	15887
96	7551	15803
97	7624	15716
98	7701	15635
99	7780	15561
100	7856	15480
101	7941	15415
102	8026	15352
103	8102	15269
104	8177	15187
105	8251	15100
106	8325	15016
107	8397	14929
108	8471	14845
109	8553	14774
110	8634	14702
111	8721	14639
112	8800	14564
113	8874	14478
114	8954	14404
115	9030	14323
116	9106	14242
117	9179	14158
118	9251	14071
119	9326	13990
120	9404	13911
121	9478	13828
122	9551	13744
123	9631	13670
124	9709	13593
125	9787	13515
126	9885	13466
127	9976	13406
128	10051	13323
129	10148	13270
130	10223	13188
131	10296	13104
132	10393	13050
133	10472	12973
134	10551	12896
135	10627	12815
136	10701	12732
137	10782	12657
138	10857	12576
139	10937	12499
140	11013	12418
141	11091	12341
142	11165	12258
143	11240	12176
144	11318	12099
145	11393	12018
146	11469	11937
147	11547	11859
148	11625	11781
149	11703	11703
150	11798	11642
151	11878	11565
152	11953	11484
153	12043	11417
154	12121	11339
155	12207	11268
156	12265	11172
157	12345	11095
158	12422	11016
159	12521	10956
160	12599	10877
161	12679	10801
162	12761	10725
163	12847	10654
164	12925	10575
165	13019	10509
166	13091	10426
167	13171	10349
168	13253	10273
169	13329	10193
170	13406	10113
171	13482	10033
172	13559	9953
173	13634	9873
174	13719	9799
175	13798	9721
176	13875	9642
177	13949	9561
178	14026	9481
179	14107	9404
180	14187	9327
181	14260	9245
182	14333	9164
183	14413	9086
184	14491	9008
185	14578	8935
186	14659	8858
187	14732	8776
188	14812	8699
189	14890	8621
190	14965	8540
191	15045	8463
192	15118	8381
193	15193	8301
194	15269	8221
195	15346	8143
196	15424	8064
197	15497	7983
198	15577	7906
199	15652	7826
200	15727	7746
201	15807	7669
202	15885	7590
203	15961	7511
204	16040	7433
205	16116	7354
206	16194	7275
207	16273	7197
208	16348	7118
209	16440	7045
210	16515	6966
211	16598	6889
212	16672	6810
213	16751	6731
214	16822	6650
215	16900	6572
216	16978	6494
217	17059	6416
218	17133	6337
219	17214	6259
220	17287	6179
221	17356	6098
222	17429	6018
223	17517	5943
224	17599	5866
225	17677	5788
226	17758	5710
227	17843	5634
228	17951	5565
229	18040	5490
230	18130	5415
231	18215	5339
232	18290	5259
233	18348	5175
234	18423	5095
235	18481	5012
236	18559	4933
237	18658	4860
238	18783	4794
239	18879	4719
240	18979	4646
241	19061	4568
242	19140	4489
243	19237	4415
244	19320	4337
245	19395	4257
246	19473	4178
247	19553	4099
248	19628	4020
249	19714	3942
250	19799	3865
251	19893	3789
252	19973	3710
253	20044	3630
254	20119	3550
255	20200	3471
256	20276	3392
257	20361	3314
258	20428	3233
259	20499	3153
260	20567	3073
261	20637	2993
262	20709	2913
263	20770	2832
264	20834	2751
265	20904	2672
266	20968	2591
267	21030	2511
268	21091	2430
269	21155	2350
270	21220	2270
271	21280	2190
272	21343	2110
273	21406	2031
274	21462	1951
275	21539	1873
276	21599	1793
277	21675	1715
278	21768	1638
279	21842	1560
280	21920	1482
281	21987	1403
282	22054	1324
283	22113	1245
284	22176	1167
285	22243	1088
286	22311	1010
287	22378	932
288	22449	854
289	22526	776
290	22592	698
291	22668	621
292	22734	543
293	22815	465
294	22882	387
295	22962	310
296	23026	232
297	23089	154
298	23159	77
299	23220	0
